"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"Mibanco",107.64,14.07,4.69,2.99,14.39,4.35,758,1.08,19043.05,8.32,58.64,98.15,19.48,8.89,2016-02-29,151.81,15.17,44.19,37.03,1.84,15.34
"Pichincha",3.4,1.71,4.4,3.39,5.79,3.68,3570,1.84,58603.48,4.1,56.4,89.64,11.27,12.72,2016-02-29,100.48,11.81,31.36,22.73,0.86,10.95
"Ripley",0,0,2.55,2.18,0,2.55,945,0.27,32957.51,16.23,57.81,89.07,32.69,6.22,2016-02-29,250.49,14.91,323.62,29.88,4.04,19.89
"Santander",8.34,0.97,0.56,0.44,0.86,0.25,32569,0.21,3575905.05,1.17,40.36,87.73,4.64,11.7,2016-02-29,382.95,14.4,59.31,21.52,1.38,13.9
"Scotiabank",1.46,0.21,3.12,2.6,4.23,2.49,6795,0.52,153291.54,2.52,37.4,85.34,7.62,10.56,2016-02-29,126.69,13.63,44.07,19.28,1.97,17.81
"Azteca",113.79,204.04,11.09,8.95,0,11.09,178,0.02,4057.23,20.14,62.52,96.64,43.78,6.3,2016-03-31,250.46,22.4,78.8,87.92,0.82,6.82
"B. del Comercio",10.22,1.5,3.88,3.6,17.45,2.33,1709,1.81,74602.5,4.72,50.93,86.88,12.52,7.51,2016-03-31,169.12,11.9,89.86,21.77,1.65,13.55
"BBVA",1.31,0.26,2.33,2.02,3.29,1.88,8913,1.59,141284.52,2.22,43.41,83.37,7.49,13.23,2016-03-31,190.92,13.17,46.37,27.24,1.76,22.85
"BCP",0.95,0.23,2.58,1.95,1.95,2.93,3681,0.84,164039.6,2.9,38.14,80.45,8.15,10.53,2016-03-31,151.37,14.3,44.77,24.23,2.25,23.38
"BIF",1.86,0.45,2.07,1.68,3.43,1.39,5926,1.73,82006.93,2.48,45.32,86.73,8.26,16.68,2016-03-31,178.15,12.17,49.78,11.52,1.01,13.76
"Cencosud",0,0,4.5,3.38,0,4.5,545,1,6648.72,30.49,70.58,84.33,45.8,2.39,2016-03-31,156.69,22.14,207.89,127.97,1.45,5.43
"Citibank",0.99,0.03,0,0,0,0,6853,0,4711554.64,3.71,64.31,89.26,7.51,8.13,2016-03-31,0,17.8,110.15,43.7,4.68,31.95
"Deutsche",25.32,1258.36,0,NA,0,0,0,0,209.63,8.75,79.52,73.56,25.56,1.41,2016-03-31,0,54.25,298.54,662.43,9.49,20.79
"Falabella",0,0,4.53,4.11,11.82,4.39,1564,1.61,33865.91,10.96,50.87,87.52,24.76,6.95,2016-03-31,171.32,14.34,106.26,29.62,2.65,19.1
"GNB",1.88,0.6,1.97,1.72,3.52,1.37,5809,0.78,275811.59,2.92,52.15,88.4,8.23,8.05,2016-03-31,175.64,12.49,49.52,17.42,0.99,8.91
"ICBC",1.97,1.32,3.03,3.03,0,15.38,3107,0,371560.18,4.42,452.32,88.81,3.59,3.92,2016-03-31,122.41,47.62,80.6,761.91,-3.05,-11.53
"Interbank",1.62,0.3,2.49,2.29,2.66,2.43,3618,1.09,85990.85,3.56,41.34,86.37,11.11,11.56,2016-03-31,186.39,15.12,56.1,27.25,2.2,25.36
"Mibanco",85.78,14.16,4.73,3.02,15.12,4.41,759,1.07,17896.65,8.41,60.07,97.63,19.58,8.55,2016-03-31,151.83,15.02,38.54,36.44,2.01,16.74
"Pichincha",2.77,1.64,3.76,3.01,4.2,3.55,3422,1.84,55120.42,4.09,61.54,88.43,11.1,10.76,2016-03-31,111.79,11.97,30.61,21.03,0.78,9.92
"Ripley",0,0,2.62,2.18,0,2.62,956,0.25,36235.74,15.9,58.04,88.86,32.38,6.63,2016-03-31,244.32,15.1,317.63,30.07,4.02,20.12
"Santander",6.3,0.92,0.55,0.49,0.89,0.24,32067,0.36,3136335.72,1.15,42.98,88.36,4.72,10.01,2016-03-31,371.98,14.17,60.3,13.25,1.33,13.57
"Scotiabank",1.21,0.35,3.2,2.66,4.12,2.69,6576,0.61,144217.28,2.49,36.82,84.15,7.57,8.68,2016-03-31,126.21,13.47,44.32,19.28,1.96,17.67
"Azteca",61.23,100.83,11.12,9,0,11.12,178,0.01,3799.1,20.45,61.91,96.53,43.88,5.9,2016-04-30,245.68,22.19,83.55,61.33,1.16,9.28
"B. del Comercio",10.67,0.93,3.89,3.71,19.26,2.32,1751,1.75,80095.47,4.62,51.56,88.21,12.41,7.57,2016-04-30,167.87,12.14,88.5,26.66,1.67,13.74
